n,error_type,edit_distance,broken,reference
107,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
    print('猫会吃掉蜘蛛')
    else:
    print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
108,SyntaxError,3,print（'生日快乐！',print('生日快乐！')
109,IndentationError,0," num_students = 100

print(num_students)","num_students = 100

print(num_students)"
110,SyntaxError,1,print('       你好\n再见',print('       你好\n再见')
111,IndentationError,0,"param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
        input_num = input_num - 10
         print(input_num)
convert_num(param)","param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
        input_num = input_num - 10
    print(input_num)

convert_num(param)"
112,SyntaxError,3,print（'生日快乐！'）,print('生日快乐！')
113,IndentationError,4,"for i in range(1,8):
        if i == 4:
    continue
    print(i)","for i in range(1,8):
    if (i == 4):
        continue
    print(i)"
114,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
    print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
115,SyntaxError,5,"age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned)=((age*0.2757+weight*0.03295+heart_rate*1.0781)-75.4991)*time/8.368
print(calories_burned)","age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = ((age * 0.2757) + (weight * 0.03295) + (heart_rate * 1.0781) - 75.4991) * time / 8.368

print(calories_burned)"
116,SyntaxError,1,"my_list = input().split(',')
new_list = []

for i in range(0,len(my_list):
    new_list.append(my_list.pop())
    

print(','.join(new_list))","my_list = input().split(',')
new_list = []

for i in range(0, len(my_list)):
    new_list.append(my_list.pop())

print(','.join(new_list))"
117,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
    print('猫会吃掉蜘蛛')
else:
print('猫吃不完蜘蛛')
else:
print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
118,SyntaxError,4,"age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = ((age * 0.2757) + (weight * 0.03295) + (heart_rate * 1.0781) - 75.4991) * time / 8.368 print(calories_burned)
print(calories_burned)","age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = ((age * 0.2757) + (weight * 0.03295) + (heart_rate * 1.0781) - 75.4991) * time / 8.368

print(calories_burned)"
119,IndentationError,4,"for i in range(1,8):
     if i == 4:  
        continue
    print(i)","for i in range(1,8):
    if (i == 4):
        continue
    print(i)"
120,SyntaxError,3,"input_int = int(input())

num_to_word={1:'一'，2:'二',3:'三',4:'四',5:'五',6:'六',7:'七',8:'八',9:'九',10:'十',}

print(num_to_word[input_int])","input_int = int(input())

num_to_word = {1:'一', 2:'二', 3:'三', 4:'四', 5:'五', 6:'六', 7:'七', 8:'八', 9:'九', 10:'十'}

print(num_to_word[input_int])"
121,IndentationError,1,"user_age=int(input())
 if
 user_age == 18
 num_candles=18
 else:
     num_candles=3
print(num_candles)","user_age = int(input())
if user_age == 18:  
    num_candles = 18
else:
    num_candles = 3
print(num_candles)"
122,SyntaxError,5,"age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = ((age*0.2757+weight*0.03295+heart_rate*1.0781)-75.4991)*time)/8.368

print(calories_burned)","age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = ((age * 0.2757) + (weight * 0.03295) + (heart_rate * 1.0781) - 75.4991) * time / 8.368

print(calories_burned)"
123,SyntaxError,1,"age = int((input())

print('my age is ' + str(age))","age = int(input())

print('my age is ' + str(age))"
124,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
else:
print('猫吃不完蜘蛛')
else:
print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
125,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
    if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
    else:
        print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
126,SyntaxError,1,"print('I can')
print('swim.')
my_age = 10
print('my age:' :my_age)","print('I can')
print('swim.')
my_age = 10
print('my age:', my_age)"
127,SyntaxError,1,"age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = ((age * 0.2757) + (weight * 0.03295) + (heart_rate * 1.0781) - 75.4991)) * time / 8.368

print(calories_burned)","age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = ((age * 0.2757) + (weight * 0.03295) + (heart_rate * 1.0781) - 75.4991) * time / 8.368

print(calories_burned)"
128,SyntaxError,3,print（'       你好\n再见'）,print('       你好\n再见')
129,SyntaxError,2,"param = int(input())

def print_num(input_num):
    if (input_num == 10):
        print input_num

print_num(param)","param = int(input())

def print_num(input_num):
    if (input_num == 10):
        print(input_num)

print_num(param)"
130,IndentationError,0,"import ast
input_list_1 = ast.literal_eval(input())
input_list_2 = ast.literal_eval(input())

def add_matrix(matrix_1, matrix_2):
    for i in range(0, len(matrix_1)):
        for j in range(0, len(matrix_1[i])):
        matrix_1[i][j] = matrix_1[i][j] + matrix_2[i][j]
    return matrix_1

print(add_matrix(input_list_1, input_list_2))","import ast
input_list_1 = ast.literal_eval(input())
input_list_2 = ast.literal_eval(input())

def add_matrix(matrix_1, matrix_2):
    for i in range(0, len(matrix_1)):
        for j in range(0, len(matrix_1[i])):
            matrix_1[i][j] = matrix_1[i][j] + matrix_2[i][j]
    return matrix_1

print(add_matrix(input_list_1, input_list_2))"
131,IndentationError,0," def welcome_to_circle_cat():
  print('Welcome to circle cat!')
  

  
welcome_to_circle_cat()	
welcome_to_circle_cat() 

welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
132,SyntaxError,4,"print('你好')
print（'我在吃饭'）
print（）","print('你好')
print('我在吃饭')"
133,IndentationError,3,"film_rate=int(input())
if (film_rate>7):
print ('好看')
else: ('不好看')","film_rate = int(input())

if film_rate > 7:
    print('好看')
else:
    print('不好看')"
134,SyntaxError,0,"time=int(input())
if
   8<time<22:
   print('醒着')
else:
    print('睡觉了')","time = int(input())
if 8 < time < 22:
    print('醒着')
else:
    print('睡觉了')"
135,IndentationError,2,"for i in range(0, 10):
    print(i)
    if i == 5:
    break","for i in range(0, 10):
    print(i)
    if (i == 5):
        break"
136,IndentationError,3,"film_rate = int(input())
  if int(film_rate) > 7:
    print('好看')
  else:
    print('不好看')","film_rate = int(input())

if film_rate > 7:
    print('好看')
else:
    print('不好看')"
137,IndentationError,0,"temp_list = input().split(',')

def count_negative(my_list):
    count = 0
    for i in my_list:
        if int(i) < 0:
        count += 1
    return count
        
print(count_negative(temp_list))","temp_list = input().split(',')

def count_negative(my_list):
    count = 0
    for i in my_list:
        if int(i) < 0:
            count += 1
    return count

print(count_negative(temp_list))"
138,SyntaxError,1,"time = int(input())
if time 8<time<22:
    print('醒着')
else:
    print('睡觉了')","time = int(input())
if 8 < time < 22:
    print('醒着')
else:
    print('睡觉了')"
139,SyntaxError,2,"film_rate = int(input())
if film_rate>7
    print('好看')
else print('不好看')","film_rate = int(input())

if film_rate > 7:
    print('好看')
else:
    print('不好看')"
140,SyntaxError,4,"print('你好')
print（'我在吃饭'）
print()","print('你好')
print('我在吃饭')"
141,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
    print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
142,SyntaxError,2,"num_students = int(input())
if num_students < 50
   print('没到齐')
else
   print('到齐了')","num_students = int(input())  

if num_students < 50:
    print('没到齐')
else:
    print('到齐了')"
143,SyntaxError,1,"time = int(input())
if 8<time<22：
    print('醒着')
else:
    print('睡觉了')","time = int(input())
if 8 < time < 22:
    print('醒着')
else:
    print('睡觉了')"
144,SyntaxError,5,"param = int(input())

def convert_num(param):
    if param >= 10：
        input_num = input_num - 10
        print(input_num)

convert_num(param)","param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
        input_num = input_num - 10
    print(input_num)

convert_num(param)"
145,SyntaxError,4,"print('00000');
print('0 0 0');
print（'00000');","print('00000')
print('0 0 0')
print('00000')"
146,SyntaxError,2,"def welcome_to_cirlcle_cat():
    print 'Welcome to circle cat!'

welcome_to_cirlcle_cat()

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()","def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()"
147,IndentationError,0,"def welcome_to_cirlcle_cat():
print('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()","def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()"
148,IndentationError,0,"param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
        input_num = input_num - 10
            print(input_num)

convert_num(param)","param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
        input_num = input_num - 10
    print(input_num)

convert_num(param)"
149,SyntaxError,2,"print('你好');
print('我在吃饭')；","print('你好')
print('我在吃饭')"
150,SyntaxError,3,"input_int = int(input())

def power_of_two(num):
    if num == 0
        return 1
    else:
        return int（2 * power_of_two(num-1)）
print(power_of_two(input_int))","input_int = int(input())

def power_of_two(num):
    if num == 0:
        return 1
    else:
        return 2 * power_of_two(num - 1)

print(power_of_two(input_int))"
151,IndentationError,3,"def welcome_to_circle_cat():
print ('Welcome to circle cat!')
welcome_to_circle_cat()
welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
152,SyntaxError,1,"time = int(input())
if 8 < time < 22
    print('醒着')
else:
    print('睡觉了')","time = int(input())
if 8 < time < 22:
    print('醒着')
else:
    print('睡觉了')"
153,SyntaxError,1,"param = input()
print(len.(param))","param = input()

print(len(param))"
154,SyntaxError,3,"def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')
welcome_to_cirlcle_cat():
welcome_to_cirlcle_cat():
welcome_to_cirlcle_cat():","def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()"
155,SyntaxError,4,"input_int = int(input())

def fib_3(num):
   if num == 0
      return 1
   elif num ==1
      return 1
   elif num == 2:
       return 1
   else:
       
      return fib_3(num-1)+fib_3(num-2)+fib_3(num-3)

print(fib_3(input_int))","input_int = int(input())
 
def fib_3(num):
   if num == 0:
      return 1
   elif num == 1:
      return 1
   elif num == 2:
      return 1
   else:
      return fib_3(num - 2) + fib_3(num - 1) + fib_3(num - 3)

print(fib_3(input_int))"
156,SyntaxError,5,"
print(num_students)=100","num_students = 100

print(num_students)"
157,SyntaxError,2,"param = input()

for i in param:
    print i","param = input()

for i in param:
    print(i)"
158,SyntaxError,4,"age = int(input())

print('my age is ' + str（int（age））)","age = int(input())

print('my age is ' + str(age))"
159,SyntaxError,2,"num_students = int(input())
if num_students < 50:
    print('没到齐')
else：
    print('到齐了')","num_students = int(input())  

if num_students < 50:
    print('没到齐')
else:
    print('到齐了')"
160,SyntaxError,2,"param = input()
for i in param；
    print(i)","param = input()

for i in param:
    print(i)"
161,SyntaxError,2,"def welcome_to_circle_cat():
    print 'Welcome to circle cat!'
welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
162,SyntaxError,3,"my_list = [10, 75, 94]
my_guess = int(input())
if (my_guess in my_list)：
    print('猜对了')
else:
    print('猜错了')","my_list = [10, 75, 94]
my_guess = int(input())

if  my_guess in my_list:
    print('猜对了')
else:
    print('猜错了')"
163,SyntaxError,1,print('生日快乐！')；,print('生日快乐！')
164,SyntaxError,1,"input_list_0 = input().split(',')
input_list_1 = input().split(',')

my_list = input_list_0 + input_list_1
del.my_list[0]
my_list[0] = 'x'

print(','.join(my_list))","input_list_0 = input().split(',')
input_list_1 = input().split(',')

my_list = input_list_0 + input_list_1
del my_list[0]
my_list[0] = 'x'

print(','.join(my_list))"
165,SyntaxError,4,"input_list_0 = input().split(',')
input_list_1 = input().split(',')

my_list = input_list_0 + input_list_1
del my_list[0]
'x' = my_list[0]
print(','.join(my_list))","input_list_0 = input().split(',')
input_list_1 = input().split(',')

my_list = input_list_0 + input_list_1
del my_list[0]
my_list[0] = 'x'

print(','.join(my_list))"
166,IndentationError,0,"param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
       
        input_num = input_num - 10
         print(input_num)

convert_num(param)","param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
        input_num = input_num - 10
    print(input_num)

convert_num(param)"
167,SyntaxError,1,"temp_list = input().split(',')

def count_negative(my_list):
    count = 0
    for i in my_list:
        if int(i) < 0：
        count += 1
    return count
        
print(count_negative(temp_list))","temp_list = input().split(',')

def count_negative(my_list):
    count = 0
    for i in my_list:
        if int(i) < 0:
            count += 1
    return count

print(count_negative(temp_list))"
168,SyntaxError,4,"def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')
welcome_to_cirlcle_cat():
welcome_to_cirlcle_cat():","def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()"
169,SyntaxError,1,"temp_list = input().split(',')

def count_negative(my_list):
    count = 0
    for i in my_list:
        if int(i) < 0
        count += 1
    return count
        
print(count_negative(temp_list))","temp_list = input().split(',')

def count_negative(my_list):
    count = 0
    for i in my_list:
        if int(i) < 0:
            count += 1
    return count

print(count_negative(temp_list))"
170,IndentationError,4,"for i in range(1,8):
        if i == 4:
        continue
    print(i)","for i in range(1,8):
    if (i == 4):
        continue
    print(i)"
171,SyntaxError,5,"print（'你好'）
print（'我在吃饭'\ ）","print('你好')
print('我在吃饭')"
172,SyntaxError,5,"int(input())
film_rate=int；
if film_rate>7:
    print('好看')
else:
    print('不好看')","film_rate = int(input())

if film_rate > 7:
    print('好看')
else:
    print('不好看')"
173,SyntaxError,3,print('       你好\n再见')print(),print('       你好\n再见')
174,SyntaxError,3,"for i in range(0, 10):
    print(i)
    if i == 5
        break","for i in range(0, 10):
    print(i)
    if (i == 5):
        break"
175,IndentationError,0,"param = input()

 for i in param:
	print(i)","param = input()

for i in param:
    print(i)"
176,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())

if num_spiders > 10:
if num_cats > num_spiders:
    print('猫会吃掉蜘蛛')
else:
    print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
177,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
if num_cats > num_spiders:
print('猫会吃掉蜘蛛')
else:
print('猫吃不完蜘蛛')
else:
print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
178,SyntaxError,1,"age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = ((age * 0.2757) + (weight * 0.03295) + (heart_rate * 1.0781) - 75.4991) * time / 8.368）

print(calories_burned)","age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = ((age * 0.2757) + (weight * 0.03295) + (heart_rate * 1.0781) - 75.4991) * time / 8.368

print(calories_burned)"
179,SyntaxError,4,"input_int = int(input())
num_to_word={1:'一'，2:'二'，3:'三',4:'四',5:'五',6:'六',7:'七',8:'八',9:'九',10:'十'}

print(num_to_word[input_int])","input_int = int(input())

num_to_word = {1:'一', 2:'二', 3:'三', 4:'四', 5:'五', 6:'六', 7:'七', 8:'八', 9:'九', 10:'十'}

print(num_to_word[input_int])"
180,SyntaxError,3,"film_rate=int(input())
if film_rate>7
print ('好看')
else ('不好看')","film_rate = int(input())

if film_rate > 7:
    print('好看')
else:
    print('不好看')"
181,SyntaxError,4,"param = int(input())

def print_num(input_num):
    if input_num == 10:
        print input_num
print_num(param)","param = int(input())

def print_num(input_num):
    if (input_num == 10):
        print(input_num)

print_num(param)"
182,SyntaxError,2,"input_int = int(input())
num_to_word = {1:'一',2:'二',3:'三',4:'四'5:'五',6:'六',7:'七'8:'八',9:'九',10:'十'
}

print(num_to_word[input_int])","input_int = int(input())

num_to_word = {1:'一', 2:'二', 3:'三', 4:'四', 5:'五', 6:'六', 7:'七', 8:'八', 9:'九', 10:'十'}

print(num_to_word[input_int])"
183,SyntaxError,1,"user_age = int(input())
if user_age ==18：
    num_candles = 18
else:
    num_candles = 3
    
print(num_candles)","user_age = int(input())
if user_age == 18:  
    num_candles = 18
else:
    num_candles = 3
print(num_candles)"
184,SyntaxError,1,"user_age = int(input())
if user_age == 18 
    num_candles = 18
else:
    num_candles = 3
print(num_candles)","user_age = int(input())
if user_age == 18:  
    num_candles = 18
else:
    num_candles = 3
print(num_candles)"
185,SyntaxError,1,"num_animals = int(input())

if num_animals >= 30：
    forest_size = 3
else:
    forest_size = 1
print(forest_size)","num_animals = int(input()) 

if num_animals >= 30:
    forest_size = 3
else:
    forest_size = 1

print(forest_size)"
186,IndentationError,2,"my_list = [10, 75, 94]
my_guess = int(input())
 if （my_guess in my_list）:
    print('猜对了')
 else:
     print('猜错了')","my_list = [10, 75, 94]
my_guess = int(input())

if  my_guess in my_list:
    print('猜对了')
else:
    print('猜错了')"
187,SyntaxError,3,"film_rate = int(input())
if film_rate > 7：
    print('好看')
else：
    print('不好看')","film_rate = int(input())

if film_rate > 7:
    print('好看')
else:
    print('不好看')"
188,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
    print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
189,SyntaxError,3,"film_rate=int(input())
if (film_rate>7):
 print ('好看')
 else: ('不好看')","film_rate = int(input())

if film_rate > 7:
    print('好看')
else:
    print('不好看')"
190,SyntaxError,4,"int user_age = input()
if user_age == 18:
    num_candles = 18
else:
    num_candles = 3
print(num_candles)","user_age = int(input())
if user_age == 18:  
    num_candles = 18
else:
    num_candles = 3
print(num_candles)"
